timestamp,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,proto,length
2024-07-03 10:28:33.231395,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.64.155.141,60211.0,443.0,6.0,121
2024-07-03 10:28:33.513218,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,104.18.32.115,49258.0,443.0,6.0,122
2024-07-03 10:28:33.513218,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,142.250.184.163,60314.0,443.0,6.0,55
2024-07-03 10:28:33.544460,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,104.18.32.115,192.168.147.112,443.0,49258.0,6.0,54
2024-07-03 10:28:33.596658,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.64.155.141,192.168.147.112,443.0,60211.0,6.0,54
2024-07-03 10:28:33.596658,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,142.250.184.163,192.168.147.112,443.0,60314.0,6.0,66
2024-07-03 10:28:33.612280,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,59198.0,443.0,17.0,1292
2024-07-03 10:28:33.696874,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,59198.0,443.0,17.0,1292
2024-07-03 10:28:33.696874,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,60242.0,443.0,6.0,102
2024-07-03 10:28:33.696874,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,60242.0,443.0,6.0,93
2024-07-03 10:28:33.696874,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,142.250.184.163,60316.0,443.0,6.0,55
2024-07-03 10:28:33.759454,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,60242.0,6.0,54
2024-07-03 10:28:33.759454,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,60242.0,6.0,54
2024-07-03 10:28:33.764979,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,60242.0,6.0,93
2024-07-03 10:28:33.764979,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,59198.0,17.0,1242
2024-07-03 10:28:33.764979,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,59198.0,17.0,1242
2024-07-03 10:28:33.764979,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,59198.0,17.0,1242
2024-07-03 10:28:33.780621,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,59198.0,17.0,1242
2024-07-03 10:28:33.780621,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,59198.0,443.0,17.0,1292
2024-07-03 10:28:33.780621,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,59198.0,443.0,17.0,206
2024-07-03 10:28:33.780621,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,60242.0,6.0,365
2024-07-03 10:28:33.780621,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,60242.0,443.0,6.0,54
2024-07-03 10:28:33.780621,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,60242.0,6.0,129
2024-07-03 10:28:33.780621,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,60242.0,443.0,6.0,89
2024-07-03 10:28:33.780621,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,142.250.184.163,192.168.147.112,443.0,60316.0,6.0,66
2024-07-03 10:28:33.796121,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,59198.0,443.0,17.0,319
2024-07-03 10:28:33.895486,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,59198.0,17.0,527
2024-07-03 10:28:33.895486,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,59198.0,17.0,66
2024-07-03 10:28:33.895486,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,59198.0,17.0,66
2024-07-03 10:28:33.915405,ea:0b:aa:a5:46:e1,9c:ad:97:ac:0e:d6,172.67.219.33,192.168.147.112,443.0,59198.0,17.0,91
2024-07-03 10:28:33.915405,9c:ad:97:ac:0e:d6,ea:0b:aa:a5:46:e1,192.168.147.112,172.67.219.33,59198.0,443.0,17.0,85
